SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
ABI PLAZA,11,KEPPEL ROAD,ABI PLAZA,11 KEPPEL ROAD ABI PLAZA SINGAPORE 089057,089057,29063.12046674825,28399.65443602018,1.273110870704051,103.8428710952676
ABC BRICKWORKS MARKET & FOOD CENTRE,6,JALAN BUKIT MERAH,ABC BRICKWORKS MARKET & FOOD CENTRE,6 JALAN BUKIT MERAH ABC BRICKWORKS MARKET & FOOD CENTRE SINGAPORE 150006,150006,25196.86438636668,29922.51415260695,1.286882972614765,103.8081312741608
ABM BUILDING,20,JALAN KILANG,ABM BUILDING,20 JALAN KILANG ABM BUILDING SINGAPORE 159418,159418,25256.21893386077,29799.52661758475,1.285770721866253,103.8086646093795
ABC HOSTEL,3,JALAN KUBOR,ABC HOSTEL,3 JALAN KUBOR ABC HOSTEL SINGAPORE 199201,199201,30890.66215682682,31780.07111900859,1.303682055263236,103.8592925166575
ABC HOSTEL,3A,JALAN KUBOR,ABC HOSTEL,3A JALAN KUBOR ABC HOSTEL SINGAPORE 199201,199201,30890.6621870948,31780.0710887406,1.3036820549895,103.8592925169295
ABC HOSTEL,3B,JALAN KUBOR,ABC HOSTEL,3B JALAN KUBOR ABC HOSTEL SINGAPORE 199201,199201,30890.6621870948,31780.0710887406,1.3036820549895,103.8592925169295
ABC HOSTEL,3C,JALAN KUBOR,ABC HOSTEL,3C JALAN KUBOR ABC HOSTEL SINGAPORE 199201,199201,30890.6621870948,31780.0710887406,1.3036820549895,103.8592925169295
ABC HOSTEL,7,JALAN KUBOR,ABC HOSTEL,7 JALAN KUBOR ABC HOSTEL SINGAPORE 199205,199205,30884.5978754852,31789.0366773922,1.303763137171622,103.8592380271152
ABC HOSTEL,7A,JALAN KUBOR,ABC HOSTEL,7A JALAN KUBOR ABC HOSTEL SINGAPORE 199205,199205,30884.53219396062,31788.95979671367,1.303762441896028,103.8592374369292
ABC HOSTEL,7B,JALAN KUBOR,ABC HOSTEL,7B JALAN KUBOR ABC HOSTEL SINGAPORE 199205,199205,30884.53219396062,31788.95979671367,1.303762441896028,103.8592374369292
ABC HOSTEL,7C,JALAN KUBOR,ABC HOSTEL,7C JALAN KUBOR ABC HOSTEL SINGAPORE 199205,199205,30884.53219396062,31788.95979671367,1.303762441896028,103.8592374369292
ADAMSON LODGE,7,PERAK ROAD,ADAMSON LODGE,7 PERAK ROAD ADAMSON LODGE SINGAPORE 208128,208128,30190.09217879549,31873.05666535348,1.304523041129477,103.8529975779532
ADAMSON LODGE,7A,PERAK ROAD,ADAMSON LODGE,7A PERAK ROAD ADAMSON LODGE SINGAPORE 208128,208128,30190.09220906347,31873.05669562146,1.304523041403207,103.8529975782252
ABDULLAH SHOOKER JEWISH WELFARE HOME,81,WILKIE ROAD,ABDULLAH SHOOKER JEWISH WELFARE HOME,81 WILKIE ROAD ABDULLAH SHOOKER JEWISH WELFARE HOME SINGAPORE 228080,228080,29544.83881762251,31691.09493032098,1.302877482213851,103.847199666966
ABELIA,2A,ARDMORE PARK,ABELIA,2A ARDMORE PARK ABELIA SINGAPORE 259948,259948,27412.8436773289,32442.00395528786,1.309668471576647,103.828042695173
ADAM FOOD CENTRE,2,ADAM ROAD,ADAM FOOD CENTRE,2 ADAM ROAD ADAM FOOD CENTRE SINGAPORE 289876,289876,25868.50171331875,34044.39404007979,1.324159852595583,103.8141659241357
ADAM PLACE APARTMENT,5,ADAM ROAD,ADAM PLACE APARTMENT,5 ADAM ROAD ADAM PLACE APARTMENT SINGAPORE 289880,289880,25741.14672012161,34161.94111690484,1.325222897537494,103.8130215626287
ADAM PLACE APARTMENT,5B,ADAM ROAD,ADAM PLACE APARTMENT,5B ADAM ROAD ADAM PLACE APARTMENT SINGAPORE 289882,289882,25702.00631260499,34151.73720450141,1.325130614042615,103.8126698657122
